<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230101,000000,16556.3200000,16556.3300000,16546.7700000,16555.6300000,40
GDAX.BTC-USD,1,20230101,000100,16555.6300000,16558.5600000,16554.7400000,16557.2400000,14
GDAX.BTC-USD,1,20230101,000200,16556.4800000,16557.3600000,16552.7800000,16557.3600000,17
GDAX.BTC-USD,1,20230101,000300,16557.3500000,16557.3900000,16550.6100000,16554.7700000,19
GDAX.BTC-USD,1,20230101,000400,16554.7700000,16554.8300000,16551.5700000,16554.2700000,7
GDAX.BTC-USD,1,20230101,000500,16554.0200000,16554.9200000,16552.4900000,16554.5400000,8
GDAX.BTC-USD,1,20230101,000600,16553.6000000,16554.5400000,16552.5600000,16554.0400000,5
GDAX.BTC-USD,1,20230101,000700,16554.0400000,16554.3800000,16553.0300000,16554.3800000,8
GDAX.BTC-USD,1,20230101,000800,16554.3800000,16554.3800000,16550.7900000,16552.9300000,16
GDAX.BTC-USD,1,20230101,000900,16552.9300000,16553.0000000,16552.0000000,16553.0000000,12
GDAX.BTC-USD,1,20230101,001000,16552.9900000,16553.2300000,16552.0000000,16553.2300000,29
GDAX.BTC-USD,1,20230101,001100,16553.2300000,16553.7400000,16552.6300000,16553.0600000,7
GDAX.BTC-USD,1,20230101,001200,16553.4200000,16553.9900000,16552.0100000,16553.2300000,10
GDAX.BTC-USD,1,20230101,001300,16553.2300000,16555.0000000,16552.9800000,16553.2500000,18
GDAX.BTC-USD,1,20230101,001400,16553.1800000,16554.5300000,16552.0000000,16553.3200000,8
GDAX.BTC-USD,1,20230101,001500,16553.3000000,16556.0700000,16552.0000000,16554.9300000,12
GDAX.BTC-USD,1,20230101,001600,16554.8200000,16554.9900000,16551.8600000,16552.6100000,14
GDAX.BTC-USD,1,20230101,001700,16552.6100000,16552.9500000,16550.7600000,16552.8100000,8
GDAX.BTC-USD,1,20230101,001800,16552.8400000,16553.6200000,16550.9500000,16552.1100000,12
GDAX.BTC-USD,1,20230101,001900,16552.1100000,16553.4100000,16552.0000000,16553.0700000,3
GDAX.BTC-USD,1,20230101,002000,16553.0600000,16555.4700000,16552.3200000,16554.3400000,26
GDAX.BTC-USD,1,20230101,002100,16553.9500000,16554.9300000,16553.0100000,16553.0100000,11
