DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
01/01/23;01:00;16559.0000000;16559.0000000;16542.0000000;16543.0000000;15
01/01/23;02:00;16542.0000000;16548.0000000;16471.0000000;16508.0000000;78
01/01/23;03:00;16509.0000000;16537.0000000;16485.0000000;16528.0000000;27
01/01/23;04:00;16530.0000000;16532.0000000;16507.0000000;16521.0000000;10
01/01/23;05:00;16520.0000000;16542.0000000;16519.0000000;16542.0000000;10
01/01/23;06:00;16540.0000000;16546.0000000;16532.0000000;16537.0000000;8
01/01/23;07:00;16537.0000000;16537.0000000;16515.0000000;16522.0000000;10
01/01/23;08:00;16523.0000000;16523.0000000;16509.0000000;16509.0000000;1
01/01/23;09:00;16512.0000000;16519.0000000;16507.0000000;16518.0000000;2
01/01/23;10:00;16519.0000000;16535.0000000;16519.0000000;16530.0000000;12
01/01/23;11:00;16531.0000000;16533.0000000;16496.0000000;16517.0000000;30
01/01/23;12:00;16517.0000000;16521.0000000;16501.0000000;16504.0000000;22
01/01/23;13:00;16504.0000000;16529.0000000;16498.0000000;16529.0000000;15
01/01/23;14:00;16527.0000000;16533.0000000;16524.0000000;16533.0000000;5
01/01/23;15:00;16533.0000000;16544.0000000;16532.0000000;16544.0000000;7
01/01/23;16:00;16544.0000000;16560.0000000;16544.0000000;16555.0000000;13
01/01/23;17:00;16555.0000000;16559.0000000;16537.0000000;16541.0000000;11
01/01/23;18:00;16544.0000000;16550.0000000;16540.0000000;16542.0000000;3
01/01/23;19:00;16542.0000000;16546.0000000;16535.0000000;16546.0000000;7
01/01/23;20:00;16546.0000000;16569.0000000;16546.0000000;16558.0000000;22
01/01/23;21:00;16562.0000000;16586.0000000;16557.0000000;16572.0000000;12
01/01/23;22:00;16573.0000000;16592.0000000;16573.0000000;16584.0000000;8
01/01/23;23:00;16588.0000000;16612.0000000;16588.0000000;16597.0000000;26
02/01/23;00:00;16597.0000000;16617.0000000;16594.0000000;16602.0000000;16
02/01/23;01:00;16603.0000000;16603.0000000;16592.0000000;16602.0000000;13
02/01/23;02:00;16603.0000000;16604.0000000;16590.0000000;16599.0000000;4
02/01/23;03:00;16599.0000000;16622.0000000;16599.0000000;16615.0000000;16
02/01/23;04:00;16615.0000000;16620.0000000;16584.0000000;16584.0000000;21
02/01/23;05:00;16584.0000000;16584.0000000;16552.0000000;16561.0000000;29
02/01/23;06:00;16560.0000000;16582.0000000;16556.0000000;16582.0000000;8
02/01/23;07:00;16582.0000000;16688.0000000;16579.0000000;16661.0000000;50
02/01/23;08:00;16660.0000000;16664.0000000;16630.0000000;16631.0000000;21
02/01/23;09:00;16631.0000000;16648.0000000;16618.0000000;16641.0000000;17
02/01/23;10:00;16642.0000000;16650.0000000;16633.0000000;16636.0000000;12
02/01/23;11:00;16636.0000000;16746.0000000;16632.0000000;16718.0000000;78
02/01/23;12:00;16716.0000000;16752.0000000;16710.0000000;16725.0000000;60
02/01/23;13:00;16728.0000000;16738.0000000;16710.0000000;16712.0000000;51
02/01/23;14:00;16712.0000000;16744.0000000;16706.0000000;16723.0000000;25
02/01/23;15:00;16723.0000000;16730.0000000;16706.0000000;16730.0000000;10
02/01/23;16:00;16730.0000000;16735.0000000;16718.0000000;16718.0000000;11
02/01/23;17:00;16718.0000000;16719.0000000;16682.0000000;16688.0000000;18
02/01/23;18:00;16689.0000000;16700.0000000;16672.0000000;16695.0000000;8
02/01/23;19:00;16696.0000000;16739.0000000;16691.0000000;16727.0000000;29
02/01/23;20:00;16732.0000000;16734.0000000;16708.0000000;16709.0000000;20
02/01/23;21:00;16708.0000000;16715.0000000;16706.0000000;16709.0000000;14
02/01/23;22:00;16709.0000000;16722.0000000;16704.0000000;16718.0000000;7
02/01/23;23:00;16718.0000000;16728.0000000;16711.0000000;16727.0000000;14
03/01/23;00:00;16728.0000000;16730.0000000;16706.0000000;16724.0000000;96
03/01/23;01:00;16724.0000000;16782.0000000;16719.0000000;16751.0000000;29
03/01/23;02:00;16753.0000000;16755.0000000;16690.0000000;16694.0000000;46
03/01/23;03:00;16693.0000000;16716.0000000;16665.0000000;16673.0000000;45
03/01/23;04:00;16668.0000000;16700.0000000;16655.0000000;16694.0000000;28
03/01/23;05:00;16691.0000000;16691.0000000;16654.0000000;16672.0000000;32
03/01/23;06:00;16672.0000000;16681.0000000;16668.0000000;16673.0000000;8
03/01/23;07:00;16672.0000000;16694.0000000;16666.0000000;16689.0000000;12
03/01/23;08:00;16690.0000000;16694.0000000;16682.0000000;16687.0000000;28
03/01/23;09:00;16683.0000000;16720.0000000;16682.0000000;16720.0000000;35
03/01/23;10:00;16720.0000000;16766.0000000;16720.0000000;16723.0000000;55
03/01/23;11:00;16724.0000000;16727.0000000;16712.0000000;16727.0000000;22
03/01/23;12:00;16727.0000000;16730.0000000;16699.0000000;16711.0000000;26
03/01/23;13:00;16711.0000000;16748.0000000;16710.0000000;16736.0000000;35
03/01/23;14:00;16741.0000000;16745.0000000;16722.0000000;16723.0000000;30
03/01/23;15:00;16723.0000000;16728.0000000;16708.0000000;16716.0000000;32
03/01/23;16:00;16715.0000000;16718.0000000;16702.0000000;16703.0000000;8
